00,Paper Giraffe,04,30,2021,2.99,12
01,Toy Car,04,30,2021,4.98,4
02,Parcel,04,30,2021,0.98,250
03,Bag of Marbles,04,30,2021,10.49,300
04,Sugar Candy,04,30,2021,1.59,1525
05,Orange,04,30,2021,1.99,32
06,Sword,04,30,2021,200.00,3
07,Rum,04,30,2021,160.89,50
08,Bottled Water,04,30,2021,0.98,500
09,Yogurt,04,30,2021,4.99,312
10,Pack of Crayons,04,30,2021,5.49,69
11,Soda,04,30,2021,2.50,365
12,Good Yart,04,30,2021,2.58,250
13,Flag,04,30,2021,20.00,400
14,Sugar Stick,04,30,2021,2.89,1525
15,Juice,04,30,2021,3.65,78
16,Toy Plane,04,30,2021,4.98,4
17,Kinder Joy,04,30,2021,3.99,250
18,Eggs,04,30,2021,4.55,257
19,Mushroom,04,30,2021,1.59,2345
